Kafka Producer Application Started ... 
Input Data:  {'action_id': 0, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:15.698886'}
Input Data:  {'action_id': 1, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:17.706285'}
Input Data:  {'action_id': 2, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:19.710561'}
Input Data:  {'action_id': 3, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:21.711401'}
Input Data:  {'action_id': 4, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:23.714952'}
Input Data:  {'action_id': 5, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:25.719496'}
Input Data:  {'action_id': 6, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:27.721051'}
Input Data:  {'action_id': 7, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:29.727105'}
Input Data:  {'action_id': 8, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:31.732664'}
Input Data:  {'action_id': 9, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:33.738096'}
Input Data:  {'action_id': 10, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:35.743067'}
